datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_30_12.000,2.069900,37.190,2.007500,35.250,1.625300,24.328,,
2026_05_08_20_30_13.009,2.069100,37.165,2.005900,35.201,1.625900,24.344,,
2026_05_08_20_30_14.008,2.069200,37.168,2.005600,35.192,1.626100,24.349,,
2026_05_08_20_30_15.016,2.069700,37.184,2.007200,35.241,1.626700,24.366,,
2026_05_08_20_30_16.000,2.070400,37.206,2.008300,35.274,1.627200,24.379,,
2026_05_08_20_30_17.002,2.071300,37.235,2.008800,35.290,1.627200,24.379,,
2026_05_08_20_30_18.000,2.070700,37.216,2.008100,35.268,1.627900,24.398,,
2026_05_08_20_30_19.002,2.071500,37.241,2.008700,35.286,1.628700,24.420,,
2026_05_08_20_30_20.000,2.072400,37.269,2.007900,35.262,1.628400,24.412,,
2026_05_08_20_30_21.000,2.072800,37.282,2.007600,35.253,1.627700,24.393,,
2026_05_08_20_30_22.006,2.073100,37.292,2.007100,35.237,1.627100,24.377,,
2026_05_08_20_30_23.003,2.073500,37.304,2.006300,35.213,1.627500,24.387,,
2026_05_08_20_30_24.005,2.073600,37.307,2.007500,35.250,1.627700,24.393,,
2026_05_08_20_30_25.009,2.073200,37.295,2.007700,35.256,1.628100,24.404,,
2026_05_08_20_30_26.003,2.073200,37.295,2.008000,35.265,1.629500,24.442,,
2026_05_08_20_30_27.000,2.073300,37.298,2.008800,35.290,1.630000,24.455,,
2026_05_08_20_30_28.004,2.073200,37.295,2.008700,35.286,1.628800,24.423,,
2026_05_08_20_30_29.000,2.072700,37.279,2.009200,35.302,1.628900,24.426,,
2026_05_08_20_30_30.002,2.071100,37.228,2.010300,35.336,1.629700,24.447,,
2026_05_08_20_30_31.010,2.070100,37.197,2.010900,35.354,1.628900,24.426,,
2026_05_08_20_30_32.005,2.070400,37.206,2.010900,35.354,1.627200,24.379,,
2026_05_08_20_30_33.000,2.071300,37.235,2.010300,35.336,1.626000,24.347,,
2026_05_08_20_30_34.000,2.072100,37.260,2.010000,35.326,1.625900,24.344,,
2026_05_08_20_30_35.008,2.072900,37.285,2.010300,35.336,1.625300,24.328,,
2026_05_08_20_30_36.006,2.073600,37.307,2.010700,35.348,1.625100,24.322,,
2026_05_08_20_30_37.000,2.074000,37.320,2.009700,35.317,1.625500,24.333,,
2026_05_08_20_30_38.000,2.074000,37.320,2.008000,35.265,1.625900,24.344,,
2026_05_08_20_30_39.000,2.074100,37.323,2.007600,35.253,1.626300,24.355,,
2026_05_08_20_30_40.011,2.074800,37.345,2.008100,35.268,1.626400,24.358,,
2026_05_08_20_30_41.000,2.074900,37.349,2.008500,35.280,1.626800,24.368,,
2026_05_08_20_30_42.007,2.075100,37.355,2.007700,35.256,1.627200,24.379,,
2026_05_08_20_30_43.000,2.075300,37.361,2.007200,35.241,1.627700,24.393,,
2026_05_08_20_30_44.001,2.075500,37.368,2.008400,35.277,1.627500,24.387,,
2026_05_08_20_30_45.008,2.074400,37.333,2.010100,35.329,1.627300,24.382,,
2026_05_08_20_30_46.009,2.074000,37.320,2.011200,35.363,1.627600,24.390,,
2026_05_08_20_30_47.009,2.074100,37.323,2.010500,35.342,1.627900,24.398,,
2026_05_08_20_30_48.000,2.074100,37.323,2.011300,35.366,1.627900,24.398,,
2026_05_08_20_30_49.000,2.073300,37.298,2.009600,35.314,1.628000,24.401,,
2026_05_08_20_30_50.001,2.072100,37.260,2.008100,35.268,1.628100,24.404,,
2026_05_08_20_30_51.000,2.072100,37.260,2.008500,35.280,1.628700,24.420,,
2026_05_08_20_30_52.008,2.073300,37.298,2.009300,35.305,1.629200,24.434,,
2026_05_08_20_30_53.000,2.074500,37.336,2.011100,35.360,1.629100,24.431,,
2026_05_08_20_30_54.009,2.075300,37.361,2.012500,35.403,1.627500,24.387,,
2026_05_08_20_30_55.000,2.075200,37.358,2.013500,35.434,1.626800,24.368,,
2026_05_08_20_30_56.000,2.075100,37.355,2.014300,35.458,1.626900,24.371,,
2026_05_08_20_30_57.009,2.075700,37.374,2.014400,35.461,1.627600,24.390,,
2026_05_08_20_30_58.000,2.076400,37.396,2.014900,35.477,1.628300,24.409,,
2026_05_08_20_30_59.000,2.076500,37.399,2.014800,35.474,1.628800,24.423,,
2026_05_08_20_31_00.000,2.075700,37.374,2.015100,35.483,1.629100,24.431,,
2026_05_08_20_31_01.007,2.075500,37.368,2.014000,35.449,1.628800,24.423,,
2026_05_08_20_31_02.001,2.075200,37.358,2.014000,35.449,1.627500,24.387,,
2026_05_08_20_31_03.000,2.075200,37.358,2.014700,35.471,1.626900,24.371,,
2026_05_08_20_31_04.000,2.075300,37.361,2.014300,35.458,1.626700,24.366,,
2026_05_08_20_31_05.000,2.075700,37.374,2.014500,35.464,1.626400,24.358,,
2026_05_08_20_31_06.007,2.076300,37.393,2.014300,35.458,1.626900,24.371,,
2026_05_08_20_31_07.000,2.076500,37.399,2.013600,35.437,1.627300,24.382,,
2026_05_08_20_31_08.008,2.076400,37.396,2.012500,35.403,1.628000,24.401,,
2026_05_08_20_31_09.001,2.074700,37.342,2.011600,35.375,1.628100,24.404,,
2026_05_08_20_31_10.000,2.074500,37.336,2.011700,35.378,1.628700,24.420,,
2026_05_08_20_31_11.002,2.075500,37.368,2.012900,35.415,1.628900,24.426,,
2026_05_08_20_31_12.000,2.075200,37.358,2.014400,35.461,1.629500,24.442,,
2026_05_08_20_31_13.000,2.075300,37.361,2.014500,35.464,1.630300,24.464,,
2026_05_08_20_31_14.002,2.074900,37.349,2.013300,35.428,1.630500,24.469,,
2026_05_08_20_31_15.006,2.075200,37.358,2.013100,35.421,1.629600,24.445,,
2026_05_08_20_31_16.007,2.075500,37.368,2.011600,35.375,1.628400,24.412,,
2026_05_08_20_31_17.009,2.075900,37.380,2.010700,35.348,1.628000,24.401,,
2026_05_08_20_31_18.000,2.076400,37.396,2.012100,35.391,1.628000,24.401,,
2026_05_08_20_31_19.005,2.077300,37.425,2.013200,35.425,1.627900,24.398,,
2026_05_08_20_31_20.000,2.077100,37.418,2.012100,35.391,1.628100,24.404,,
2026_05_08_20_31_21.000,2.076700,37.406,2.010500,35.342,1.628700,24.420,,
2026_05_08_20_31_22.008,2.075300,37.361,2.010000,35.326,1.629300,24.436,,
2026_05_08_20_31_23.008,2.075100,37.355,2.010500,35.342,1.630000,24.455,,
2026_05_08_20_31_24.000,2.074700,37.342,2.010800,35.351,1.630300,24.464,,
2026_05_08_20_31_25.010,2.074100,37.323,2.012000,35.388,1.630500,24.469,,
